time_edt,source,speech,language,shouted,transcriber_note,pdf_page
09:41:21.3,CAM,RDO CAM,unmarked,yes,The sound of cabin chime; Warren county ATIS is being received on radio 1 starts; The sound of numerous snaps and clicks,5
09:41:38.0,CAM,,unmarked,,The sound of cabin call chime,5
09:41:56.4,CAM-?,Oh man!,english_spoken,,A low pitch native English speaking male,5
09:42:52.3,CAM,,unmarked,,The sound of numerous snaps,5
09:43:57.1,CAM,,unmarked,,"ATIS stops on co-pilot's number 2 radio channel, and cockpit crew speaker",5
09:44:18.3,CAM-?,This does not work now,translated_arabic,,,5
09:44:26.3,CAM,,unmarked,,The sound of 2 click,5
09:44:37.4,CAM,,unmarked,,The sound of auto-pilot disconnect warning starts,5
09:45:13.4,CAM-1,Turn it off,english_spoken,,,5
09:45:19.8,CAM-?,"How about we let them in We let the guys in, now",translated_arabic,,,5
09:45:23.2,CAM-?,Okay,translated_arabic,,,5
09:45:24.0,CAM-?,Should we let the guys in,translated_arabic,,,5
09:45:25.9,CAM-1,"Inform them, and tell him to talk to the pilot. Bring the pilot back",translated_arabic,,,5
09:45:42.1,CAM,,unmarked,,The sound of auto-pilot disconnect warning stops,5
09:45:42.3,CAM,,unmarked,,The sound of four alert tones,5
09:45:51,RDO-1,,unmarked,,ATIS transmission stopped on captains radio channels,5
09:45:54.0,CAM,,unmarked,,A male shouting in the background. Far away,5
09:45:57.5,CAM-1,"In the name of Allah. In the name of Allah. I bear witness that there is no other God, but Allah",translated_arabic,,A native Arabic speaking male whispering the Shahadah,5
09:46:03.2,CAM,,unmarked,,The sound of four alert tones,5
09:46:20.5,CAM,,unmarked,,The sound of 2 knocks on the door,5
09:46:23.1,CAM,,unmarked,,The sound of the door opening,5
09:46:37.3,CAM,,unmarked,,The sound of auto-pilot disconnect warning starts,5
09:46:39.2,CAM,,unmarked,,The sound of a click,5
09:46:44.5,CAM,,unmarked,,The sound of auto-pilot disconnect warning stops,5
09:47:31.2,CAM-?,,unmarked,,U/I; Unintelligible Arabic question,5
09:47:34.2,CAM-2,Allah knows,translated_arabic,,,5
09:48:15.4,CAM-?,,unmarked,,U/I; Unintelligible background words,5
09:48:18.4,CAM,CVR f r om UA Flight #93,unmarked,,The sound of distinctive knocks on the door,5
09:48:21.0,CAM,,unmarked,,The sound of the door opening,6
09:48:38.1,CAM-1,Set course,english_spoken,,,6
09:48:39.4,CAM,,unmarked,,The sound of 5 quick thumps,6
09:48:57.2,RDO-1,,unmarked,,Warren tower ATIS starts,6
09:49:35.5,CAM,,unmarked,,U/I; Unintelligible phrase,6
09:49:55.5,CAM,,unmarked,,"The sound of papers being shuffled, or movements",6
09:50:37.4,RDO-1,,unmarked,,ATIS stops on the captain's radio,6
09:50:44.5,CAM,,unmarked,,The sound of 3 coughs,6
